Frame         Time          Elec          VdW           Nonbond       Total         
156           156           -4409.88      -626.847      -5036.72      -5036.72      
157           157           -4304.72      -620.872      -4925.59      -4925.59      
158           158           -4374.63      -625.929      -5000.56      -5000.56      
159           159           -4384.97      -635.488      -5020.46      -5020.46      
160           160           -4291.11      -605.722      -4896.83      -4896.83      
161           161           -4163.4       -650.705      -4814.1       -4814.1       
162           162           -4315.69      -651.024      -4966.71      -4966.71      
163           163           -4273.74      -601.704      -4875.44      -4875.44      
164           164           -4269.19      -594.37       -4863.56      -4863.56      
165           165           -4294.32      -633.303      -4927.62      -4927.62      
166           166           -4346.85      -553.662      -4900.51      -4900.51      
167           167           -4401.72      -602.103      -5003.82      -5003.82      
168           168           -4477.56      -635.791      -5113.35      -5113.35      
169           169           -4429.66      -621.748      -5051.41      -5051.41      
170           170           -4313.21      -634.562      -4947.77      -4947.77      
171           171           -4292.83      -615.502      -4908.33      -4908.33      
172           172           -4215.1       -627.311      -4842.41      -4842.41      
173           173           -4260.84      -645.373      -4906.22      -4906.22      
174           174           -4281.65      -637.252      -4918.91      -4918.91      
175           175           -4183.39      -652.445      -4835.84      -4835.84      
176           176           -4228.1       -642.258      -4870.36      -4870.36      
177           177           -4239.81      -646.26       -4886.07      -4886.07      
178           178           -4283.22      -585.399      -4868.62      -4868.62      
179           179           -4138.1       -625.43       -4763.53      -4763.53      
180           180           -4148.77      -620.562      -4769.34      -4769.34      
181           181           -4235.24      -639.885      -4875.12      -4875.12      
182           182           -4271.38      -634.992      -4906.37      -4906.37      
183           183           -4199.15      -650.765      -4849.92      -4849.92      
184           184           -4291.23      -643.031      -4934.26      -4934.26      
185           185           -4122.95      -641.07       -4764.02      -4764.02      
186           186           -4234.1       -635.397      -4869.5       -4869.5       
187           187           -4194.2       -586.253      -4780.45      -4780.45      
188           188           -4235.72      -605.498      -4841.22      -4841.22      
189           189           -4192.55      -614.055      -4806.61      -4806.61      
190           190           -4162.7       -638.846      -4801.55      -4801.55      
191           191           -4123.44      -651.602      -4775.04      -4775.04      
192           192           -4098.61      -584.538      -4683.15      -4683.15      
193           193           -4072.01      -627.076      -4699.09      -4699.09      
194           194           -4247.11      -627.609      -4874.72      -4874.72      
195           195           -4081.19      -610.593      -4691.78      -4691.78      
196           196           -4090.82      -618.732      -4709.55      -4709.55      
197           197           -4111.97      -613.984      -4725.95      -4725.95      
198           198           -4154.71      -606.08       -4760.79      -4760.79      
199           199           -4136.12      -620.887      -4757.01      -4757.01      
200           200           -4097.93      -610.071      -4708         -4708         
201           201           -4301.99      -596.713      -4898.7       -4898.7       
202           202           -4338.9       -586.499      -4925.4       -4925.4       
203           203           -4243.77      -594.459      -4838.23      -4838.23      
204           204           -4209.17      -627.183      -4836.35      -4836.35      
205           205           -4300.66      -588.959      -4889.61      -4889.61      
206           206           -4264.66      -614.263      -4878.92      -4878.92      
207           207           -4292.04      -575.195      -4867.24      -4867.24      
208           208           -4349.58      -586.997      -4936.58      -4936.58      
209           209           -4326.38      -585.875      -4912.25      -4912.25      
210           210           -4262.2       -614.046      -4876.24      -4876.24      
211           211           -4383.78      -583.504      -4967.29      -4967.29      
212           212           -4369.34      -597.199      -4966.54      -4966.54      
213           213           -4369.81      -588.06       -4957.87      -4957.87      
214           214           -4451.97      -613.331      -5065.3       -5065.3       
215           215           -4259.02      -576.801      -4835.82      -4835.82      
216           216           -4217.61      -637.363      -4854.98      -4854.98      
217           217           -4233.76      -579.586      -4813.34      -4813.34      
218           218           -4407.72      -614.754      -5022.47      -5022.47      
219           219           -4342.04      -604.792      -4946.83      -4946.83      
220           220           -4389.29      -602.962      -4992.25      -4992.25      
221           221           -4378.38      -578.869      -4957.25      -4957.25      
222           222           -4411.35      -622.918      -5034.27      -5034.27      
223           223           -4360.84      -588.975      -4949.82      -4949.82      
224           224           -4232.28      -607.588      -4839.87      -4839.87      
225           225           -4322.68      -576.08       -4898.76      -4898.76      
226           226           -4449.21      -585.744      -5034.95      -5034.95      
227           227           -4293.93      -653.784      -4947.72      -4947.72      
228           228           -4252.37      -637.971      -4890.34      -4890.34      
229           229           -4205.83      -602.122      -4807.96      -4807.96      
230           230           -4276.43      -562.777      -4839.2       -4839.2       
231           231           -4327.3       -614.299      -4941.59      -4941.59      
232           232           -4287.34      -559.112      -4846.45      -4846.45      
233           233           -4347.05      -601.594      -4948.64      -4948.64      
234           234           -4287.36      -603.087      -4890.45      -4890.45      
235           235           -4271.91      -609.447      -4881.36      -4881.36      
236           236           -4403.44      -616.318      -5019.75      -5019.75      
237           237           -4163.65      -581.34       -4744.99      -4744.99      
238           238           -4152.61      -584.135      -4736.74      -4736.74      
239           239           -4217.07      -589.087      -4806.16      -4806.16      
240           240           -4349.63      -552.99       -4902.62      -4902.62      
241           241           -4258.54      -610.196      -4868.73      -4868.73      
242           242           -4181.71      -640.581      -4822.29      -4822.29      
243           243           -4196.76      -593.288      -4790.05      -4790.05      
244           244           -4230.35      -568.187      -4798.54      -4798.54      
245           245           -4296.38      -603.048      -4899.43      -4899.43      
246           246           -4235.33      -614.14       -4849.47      -4849.47      
247           247           -4348.08      -564.186      -4912.26      -4912.26      
248           248           -4402.84      -596.217      -4999.05      -4999.05      
249           249           -4251.43      -583.572      -4835         -4835         
250           250           -4069.83      -645.82       -4715.65      -4715.65      
251           251           -4150.86      -613.143      -4764.01      -4764.01      
252           252           -4096.63      -583.997      -4680.63      -4680.63      
253           253           -4033.59      -612.139      -4645.73      -4645.73      
254           254           -4129.61      -605.386      -4735         -4735         
255           255           -4108.85      -626.828      -4735.68      -4735.68      
256           256           -4132.72      -605.105      -4737.82      -4737.82      
257           257           -4212.97      -637.399      -4850.37      -4850.37      
258           258           -4201.14      -644.748      -4845.89      -4845.89      
259           259           -4220.82      -647.801      -4868.62      -4868.62      
260           260           -4281.36      -635.33       -4916.69      -4916.69      
261           261           -4373.93      -651.104      -5025.03      -5025.03      
262           262           -4178.48      -636.51       -4814.99      -4814.99      
263           263           -4323.98      -627.531      -4951.51      -4951.51      
264           264           -4072.27      -689.851      -4762.12      -4762.12      
265           265           -4143.16      -643.205      -4786.37      -4786.37      
266           266           -4196.45      -679.922      -4876.37      -4876.37      
267           267           -4148.35      -671.395      -4819.75      -4819.75      
268           268           -4367.68      -647.755      -5015.44      -5015.44      
269           269           -4285.92      -696.718      -4982.64      -4982.64      
270           270           -4367.47      -673.474      -5040.95      -5040.95      
271           271           -4298.62      -637.591      -4936.21      -4936.21      
272           272           -4289.81      -598.924      -4888.74      -4888.74      
273           273           -4271.49      -589.663      -4861.16      -4861.16      
274           274           -4291.8       -636.534      -4928.33      -4928.33      
275           275           -4296.82      -602.544      -4899.36      -4899.36      
276           276           -4260.2       -641.066      -4901.27      -4901.27      
277           277           -4277.44      -575.212      -4852.65      -4852.65      
278           278           -4037.42      -641.728      -4679.15      -4679.15      
279           279           -3978.96      -638.549      -4617.51      -4617.51      
280           280           -4246.14      -639.068      -4885.21      -4885.21      
281           281           -4165.57      -619.448      -4785.02      -4785.02      
282           282           -4229.81      -608.829      -4838.64      -4838.64      
283           283           -4284.4       -599.189      -4883.59      -4883.59      
284           284           -4253.32      -583.453      -4836.77      -4836.77      
285           285           -4182.19      -608.869      -4791.06      -4791.06      
286           286           -4051.82      -643.106      -4694.92      -4694.92      
287           287           -4091.99      -620.905      -4712.9       -4712.9       
288           288           -4117.83      -647.166      -4765         -4765         
289           289           -4097.55      -631.872      -4729.42      -4729.42      
290           290           -4164.38      -629.234      -4793.61      -4793.61      
291           291           -4059.91      -628.524      -4688.44      -4688.44      
292           292           -4092.99      -607.237      -4700.23      -4700.23      
293           293           -4320.38      -629.139      -4949.52      -4949.52      
294           294           -4182.95      -615.826      -4798.78      -4798.78      
295           295           -4118.42      -650.162      -4768.59      -4768.59      
296           296           -4214.5       -553.572      -4768.07      -4768.07      
297           297           -4250.6       -620.798      -4871.4       -4871.4       
298           298           -4108.9       -583.464      -4692.36      -4692.36      
299           299           -4296.48      -536.135      -4832.61      -4832.61      
300           300           -4192.88      -581.218      -4774.09      -4774.09      
301           301           -4222.95      -594.72       -4817.67      -4817.67      
302           302           -4106.55      -627.491      -4734.04      -4734.04      
303           303           -4278.91      -606.9        -4885.81      -4885.81      
304           304           -4007.92      -608.41       -4616.33      -4616.33      
305           305           -3859.45      -618.845      -4478.3       -4478.3       
306           306           -3958.52      -619.111      -4577.64      -4577.64      
307           307           -3984.64      -599.772      -4584.41      -4584.41      
308           308           -3865.85      -645.231      -4511.08      -4511.08      
309           309           -3907.96      -600.248      -4508.2       -4508.2       
310           310           -3926.02      -650.008      -4576.03      -4576.03      
311           311           -4000.93      -613.46       -4614.39      -4614.39      
312           312           -3912.5       -663.078      -4575.58      -4575.58      
313           313           -3947.8       -645.261      -4593.06      -4593.06      
314           314           -4057.12      -626.566      -4683.69      -4683.69      
315           315           -4013.98      -591.849      -4605.83      -4605.83      
316           316           -4078.03      -636.023      -4714.05      -4714.05      
317           317           -4163.94      -626.522      -4790.47      -4790.47      
318           318           -4174.17      -639.386      -4813.56      -4813.56      
319           319           -4187.29      -634.377      -4821.66      -4821.66      
320           320           -4052.89      -598.327      -4651.22      -4651.22      
321           321           -4046.79      -592.404      -4639.2       -4639.2       
322           322           -4268.66      -588.12       -4856.78      -4856.78      
323           323           -4264.96      -632.012      -4896.97      -4896.97      
324           324           -4158.6       -614.014      -4772.61      -4772.61      
325           325           -4222.61      -621.132      -4843.75      -4843.75      
326           326           -4330.4       -600.991      -4931.4       -4931.4       
327           327           -4126.51      -614.226      -4740.73      -4740.73      
328           328           -4116.47      -593.342      -4709.81      -4709.81      
329           329           -4160.97      -603.287      -4764.26      -4764.26      
330           330           -3934.41      -642.641      -4577.06      -4577.06      
331           331           -4112.66      -588.795      -4701.46      -4701.46      
332           332           -4000.13      -607.176      -4607.31      -4607.31      
333           333           -3999.13      -621.808      -4620.94      -4620.94      
334           334           -4101.24      -629.023      -4730.26      -4730.26      
335           335           -3925.9       -633.922      -4559.82      -4559.82      
336           336           -4134.27      -583.09       -4717.36      -4717.36      
337           337           -4020.5       -635.339      -4655.84      -4655.84      
338           338           -4051.78      -665.706      -4717.49      -4717.49      
339           339           -4003.45      -658.594      -4662.05      -4662.05      
340           340           -4151.08      -629.864      -4780.94      -4780.94      
341           341           -4245.35      -662.324      -4907.68      -4907.68      
342           342           -4109.76      -630.127      -4739.89      -4739.89      
343           343           -4299.53      -591.775      -4891.3       -4891.3       
344           344           -4335.94      -619.286      -4955.22      -4955.22      
345           345           -4171.8       -584.955      -4756.76      -4756.76      
346           346           -4189.12      -603.254      -4792.37      -4792.37      
347           347           -4185.18      -609.616      -4794.8       -4794.8       
348           348           -4109.02      -612.644      -4721.66      -4721.66      
349           349           -4113.82      -597.076      -4710.89      -4710.89      
350           350           -4019.85      -593.975      -4613.83      -4613.83      
351           351           -4020.56      -628.953      -4649.51      -4649.51      
352           352           -4136.43      -591.954      -4728.38      -4728.38      
