TYPE,FRAME, RADIOG
Protein, 142, 23.539946797158073
Complex, 142, 23.499904853084292
Protein, 143, 23.278178940178535
Complex, 143, 23.243576119214463
Protein, 144, 23.557203419818936
Complex, 144, 23.517762755748723
Protein, 145, 23.53667688558149
Complex, 145, 23.498786108140866
Protein, 146, 23.398065434856058
Complex, 146, 23.35843317768077
Protein, 147, 23.543520991046137
Complex, 147, 23.50108230211883
Protein, 148, 23.646403002246007
Complex, 148, 23.604368992688908
Protein, 149, 23.670364543484236
Complex, 149, 23.629176082351904
Protein, 150, 23.302418757738845
Complex, 150, 23.256664440398172
Protein, 151, 23.218854775601805
Complex, 151, 23.175556410680613
Protein, 152, 23.10357136933642
Complex, 152, 23.06217606794307
Protein, 153, 23.295252807580685
Complex, 153, 23.25132162598844
Protein, 154, 23.0421058771788
Complex, 154, 22.99944421236181
Protein, 155, 23.428341137603848
Complex, 155, 23.38730521827163
Protein, 156, 23.31269800899488
Complex, 156, 23.270547982962974
Protein, 157, 23.65000014419286
Complex, 157, 23.606600634058196
Protein, 158, 23.984524050435155
Complex, 158, 23.942102615031907
Protein, 159, 24.172922414388207
Complex, 159, 24.13051415319343
Protein, 160, 24.073112768248276
Complex, 160, 24.0244005050106
Protein, 161, 23.803192175860957
Complex, 161, 23.760341062788722
Protein, 162, 23.871556383865126
Complex, 162, 23.82888316530011
Protein, 163, 24.264051223288856
Complex, 163, 24.218161865537436
Protein, 164, 24.60798634862992
Complex, 164, 24.558304478972328
Protein, 165, 24.21480850628992
Complex, 165, 24.171647303302063
Protein, 166, 24.38940534586623
Complex, 166, 24.345688577506913
Protein, 167, 24.529443957641007
Complex, 167, 24.48681981119926
Protein, 168, 24.200280885008002
Complex, 168, 24.160874118155647
Protein, 169, 23.98613168339664
Complex, 169, 23.94490858964968
Protein, 170, 24.414403296550436
Complex, 170, 24.373090528700658
Protein, 171, 24.08122459207647
Complex, 171, 24.041672620233008
Protein, 172, 24.22828903232163
Complex, 172, 24.191828591324775
Protein, 173, 24.515286316624884
Complex, 173, 24.472474742592176
Protein, 174, 24.317802511290154
Complex, 174, 24.28163420076215
Protein, 175, 24.620929767231985
Complex, 175, 24.585592487212043
Protein, 176, 24.675261735811354
Complex, 176, 24.639276841466298
Protein, 177, 24.477150980041266
Complex, 177, 24.439076579166617
Protein, 178, 24.358295006742125
Complex, 178, 24.318365786970553
Protein, 179, 24.91518019985476
