FRAME,TYPE,RMSD
528,Protein,11.876782417297363
529,Protein,11.914713859558105
530,Protein,11.5947904586792
531,Protein,11.887480735778809
532,Protein,12.013540267944336
533,Protein,12.474418640136719
534,Protein,12.490748405456543
535,Protein,12.994244575500488
536,Protein,13.467732429504395
537,Protein,13.979485511779785
538,Protein,13.881248474121094
539,Protein,13.902902603149414
540,Protein,13.53868293762207
541,Protein,13.072527885437012
542,Protein,13.128129005432129
543,Protein,13.712613105773926
544,Protein,13.577037811279297
545,Protein,13.610631942749023
546,Protein,13.522540092468262
547,Protein,13.27304458618164
548,Protein,13.31430435180664
549,Protein,13.193025588989258
550,Protein,13.077505111694336
551,Protein,12.71605110168457
552,Protein,12.579537391662598
553,Protein,12.721470832824707
554,Protein,12.881514549255371
555,Protein,12.907793045043945
556,Protein,13.387853622436523
557,Protein,13.839513778686523
558,Protein,13.972311019897461
559,Protein,14.3910551071167
560,Protein,14.121301651000977
561,Protein,14.901839256286621
562,Protein,14.544739723205566
563,Protein,14.340963363647461
564,Protein,14.178093910217285
565,Protein,14.754117965698242
566,Protein,14.479799270629883
567,Protein,14.256509780883789
568,Protein,14.262983322143555
569,Protein,13.81147575378418
570,Protein,14.316666603088379
571,Protein,13.915281295776367
572,Protein,14.040180206298828
573,Protein,13.91670036315918
574,Protein,14.56701946258545
575,Protein,14.816452980041504
576,Protein,14.555167198181152
577,Protein,14.401838302612305
578,Protein,14.33309268951416
579,Protein,14.308538436889648
580,Protein,14.35920238494873
581,Protein,14.368227005004883
582,Protein,14.079532623291016
583,Protein,13.631295204162598
584,Protein,13.338346481323242
585,Protein,13.662796020507813
586,Protein,14.013182640075684
587,Protein,13.755495071411133
588,Protein,14.059530258178711
589,Protein,13.644530296325684
590,Protein,13.291094779968262
591,Protein,13.627917289733887
592,Protein,13.20041275024414
593,Protein,12.827960014343262
594,Protein,12.602587699890137
595,Protein,12.164972305297852
596,Protein,12.555630683898926
597,Protein,11.903031349182129
598,Protein,11.827871322631836
599,Protein,11.672235488891602
600,Protein,11.881052017211914
601,Protein,11.804073333740234
602,Protein,12.302550315856934
603,Protein,11.635401725769043
604,Protein,11.776163101196289
605,Protein,12.18513298034668
606,Protein,11.432759284973145
607,Protein,11.697687149047852
608,Protein,11.602628707885742
609,Protein,11.722371101379395
610,Protein,11.679587364196777
611,Protein,11.43243408203125
612,Protein,11.373608589172363
613,Protein,12.334047317504883
614,Protein,12.696328163146973
615,Protein,12.867557525634766
616,Protein,12.54343032836914
617,Protein,12.161982536315918
618,Protein,12.093002319335938
619,Protein,11.991591453552246
620,Protein,12.142269134521484
621,Protein,11.391796112060547
622,Protein,10.851204872131348
623,Protein,10.639046669006348
624,Protein,10.623309135437012
625,Protein,11.119590759277344
626,Protein,11.66992473602295
627,Protein,11.778797149658203
628,Protein,11.796442031860352
629,Protein,11.915724754333496
630,Protein,11.840298652648926
631,Protein,11.78629207611084
632,Protein,11.434751510620117
633,Protein,12.032011985778809
634,Protein,11.959117889404297
635,Protein,12.074323654174805
636,Protein,11.96010971069336
637,Protein,11.423436164855957
638,Protein,11.646622657775879
639,Protein,11.469830513000488
640,Protein,11.760772705078125
641,Protein,12.253986358642578
642,Protein,12.85120964050293
643,Protein,13.100719451904297
644,Protein,13.219942092895508
645,Protein,13.333184242248535
646,Protein,13.136113166809082
647,Protein,12.898367881774902
648,Protein,12.551021575927734
649,Protein,12.725554466247559
650,Protein,12.769877433776855
651,Protein,12.366079330444336
652,Protein,12.225296020507813
653,Protein,12.218734741210938
654,Protein,12.388853073120117
655,Protein,12.351096153259277
656,Protein,12.677827835083008
657,Protein,12.448938369750977
658,Protein,13.085787773132324
659,Protein,13.399701118469238
660,Protein,13.464603424072266
661,Protein,12.598043441772461
662,Protein,12.737626075744629
663,Protein,12.658702850341797
664,Protein,12.619584083557129
665,Protein,12.175541877746582
666,Protein,12.433326721191406
667,Protein,12.018770217895508
668,Protein,12.036662101745605
669,Protein,12.363682746887207
670,Protein,12.164944648742676
671,Protein,12.182890892028809
672,Protein,12.140817642211914
673,Protein,12.563116073608398
674,Protein,12.2092924118042
675,Protein,12.39309024810791
676,Protein,12.300636291503906
677,Protein,11.845840454101563
678,Protein,11.770195960998535
679,Protein,11.80579662322998
680,Protein,11.93717098236084
681,Protein,12.597896575927734
682,Protein,12.601341247558594
683,Protein,12.272964477539063
684,Protein,12.199831008911133
685,Protein,12.31348705291748
686,Protein,12.361064910888672
687,Protein,12.786996841430664
688,Protein,13.02407169342041
689,Protein,13.055780410766602
690,Protein,12.836400032043457
691,Protein,12.148448944091797
692,Protein,12.449172973632813
693,Protein,12.901542663574219
694,Protein,12.529128074645996
695,Protein,12.605608940124512
696,Protein,13.163969993591309
697,Protein,12.977231979370117
698,Protein,13.28626537322998
699,Protein,13.013816833496094
700,Protein,13.734138488769531
701,Protein,13.059638023376465
702,Protein,12.856561660766602
703,Protein,12.768044471740723
704,Protein,12.888494491577148
705,Protein,12.453761100769043
706,Protein,12.399876594543457
707,Protein,12.002786636352539
708,Protein,12.269401550292969
709,Protein,12.082048416137695
710,Protein,11.275270462036133
711,Protein,11.620382308959961
712,Protein,11.791893005371094
713,Protein,12.260146141052246
714,Protein,11.6614990234375
715,Protein,11.337836265563965
716,Protein,11.335856437683105
717,Protein,11.308247566223145
718,Protein,11.39193344116211
719,Protein,11.004401206970215
720,Protein,10.916370391845703
721,Protein,11.21136474609375
722,Protein,10.698264122009277
723,Protein,10.706482887268066
724,Protein,10.667088508605957
725,Protein,11.067090034484863
726,Protein,11.444334983825684
727,Protein,11.386418342590332
728,Protein,11.649237632751465
729,Protein,11.937589645385742
730,Protein,12.314597129821777
731,Protein,11.775787353515625
732,Protein,11.219091415405273
733,Protein,11.239113807678223
734,Protein,11.03783893585205
735,Protein,11.266156196594238
736,Protein,11.14848804473877
737,Protein,11.10525131225586
738,Protein,11.473413467407227
739,Protein,11.411669731140137
740,Protein,10.930401802062988
741,Protein,11.01164436340332
742,Protein,11.0045804977417
743,Protein,10.90809154510498
744,Protein,10.941603660583496
745,Protein,10.781339645385742
746,Protein,10.343542098999023
747,Protein,10.933269500732422
748,Protein,10.775568962097168
749,Protein,10.380711555480957
750,Protein,10.570401191711426
751,Protein,10.412535667419434
752,Protein,10.382657051086426
753,Protein,10.532770156860352
754,Protein,10.578350067138672
755,Protein,10.895272254943848
756,Protein,10.666224479675293
757,Protein,10.852590560913086
758,Protein,10.886940956115723
759,Protein,10.98149585723877
760,Protein,10.583971977233887
761,Protein,10.795171737670898
762,Protein,11.00446891784668
763,Protein,10.907548904418945
764,Protein,11.262423515319824
765,Protein,11.533611297607422
766,Protein,11.674511909484863
767,Protein,11.087239265441895
768,Protein,11.431987762451172
769,Protein,11.606813430786133
770,Protein,11.43799114227295
771,Protein,11.748658180236816
772,Protein,11.856244087219238
773,Protein,12.019603729248047
774,Protein,11.900524139404297
775,Protein,12.284521102905273
776,Protein,11.887107849121094
777,Protein,12.021736145019531
778,Protein,12.416686058044434
779,Protein,12.700202941894531
780,Protein,12.306336402893066
781,Protein,12.574029922485352
782,Protein,13.053593635559082
783,Protein,13.321758270263672
784,Protein,12.770201683044434
785,Protein,12.89217472076416
786,Protein,12.993671417236328
787,Protein,12.626988410949707
788,Protein,12.71092700958252
789,Protein,12.395037651062012
790,Protein,12.105551719665527
791,Protein,12.001542091369629
792,Protein,12.135469436645508
793,Protein,12.851181030273438
794,Protein,12.60959243774414
