POSE, FRAME, TYPE, RMSD
sw06_Full,237,Protein,8.834957122802734
sw06_Full,238,Protein,8.266018867492676
sw06_Full,239,Protein,7.947837829589844
sw06_Full,240,Protein,7.981654167175293
sw06_Full,241,Protein,8.004241943359375
sw06_Full,242,Protein,8.211808204650879
sw06_Full,243,Protein,8.470600128173828
sw06_Full,244,Protein,8.374608993530273
sw06_Full,245,Protein,8.481989860534668
sw06_Full,246,Protein,8.475606918334961
sw06_Full,247,Protein,8.653104782104492
sw06_Full,248,Protein,8.392899513244629
sw06_Full,249,Protein,8.325583457946777
sw06_Full,250,Protein,8.38071346282959
sw06_Full,251,Protein,8.181201934814453
sw06_Full,252,Protein,8.116093635559082
sw06_Full,253,Protein,8.251340866088867
sw06_Full,254,Protein,8.34704303741455
sw06_Full,255,Protein,8.735209465026855
sw06_Full,256,Protein,8.643832206726074
sw06_Full,257,Protein,8.89572525024414
sw06_Full,258,Protein,8.517349243164063
sw06_Full,259,Protein,8.976263046264648
sw06_Full,260,Protein,9.274491310119629
sw06_Full,261,Protein,9.54316520690918
sw06_Full,262,Protein,9.54478645324707
sw06_Full,263,Protein,9.833227157592773
sw06_Full,264,Protein,9.59658145904541
sw06_Full,265,Protein,9.564288139343262
sw06_Full,266,Protein,9.5011568069458
sw06_Full,267,Protein,9.39257526397705
sw06_Full,268,Protein,9.69966983795166
sw06_Full,269,Protein,9.286263465881348
sw06_Full,270,Protein,9.410956382751465
sw06_Full,271,Protein,9.478899955749512
sw06_Full,272,Protein,9.311127662658691
sw06_Full,273,Protein,9.573246002197266
sw06_Full,274,Protein,9.627394676208496
sw06_Full,275,Protein,9.900361061096191
sw06_Full,276,Protein,9.997000694274902
sw06_Full,277,Protein,9.567367553710938
sw06_Full,278,Protein,9.841569900512695
sw06_Full,279,Protein,9.23720932006836
sw06_Full,280,Protein,9.083253860473633
sw06_Full,281,Protein,8.885942459106445
sw06_Full,282,Protein,9.312455177307129
sw06_Full,283,Protein,9.34405517578125
sw06_Full,284,Protein,9.154727935791016
sw06_Full,285,Protein,9.330039024353027
sw06_Full,286,Protein,9.372784614562988
sw06_Full,287,Protein,9.136384010314941
sw06_Full,288,Protein,9.250328063964844
sw06_Full,289,Protein,9.305068969726563
sw06_Full,290,Protein,8.97563648223877
sw06_Full,291,Protein,8.707362174987793
sw06_Full,292,Protein,8.652849197387695
sw06_Full,293,Protein,9.070735931396484
sw06_Full,294,Protein,9.183636665344238
sw06_Full,295,Protein,9.199782371520996
sw06_Full,296,Protein,9.28596019744873
sw06_Full,297,Protein,9.322622299194336
sw06_Full,298,Protein,9.18218994140625
sw06_Full,299,Protein,9.528604507446289
sw06_Full,300,Protein,9.42357063293457
sw06_Full,301,Protein,9.633772850036621
sw06_Full,302,Protein,9.397305488586426
sw06_Full,303,Protein,9.551480293273926
sw06_Full,304,Protein,9.199414253234863
sw06_Full,305,Protein,8.991753578186035
sw06_Full,306,Protein,8.726396560668945
sw06_Full,307,Protein,8.613388061523438
sw06_Full,308,Protein,9.093960762023926
sw06_Full,309,Protein,9.121180534362793
sw06_Full,310,Protein,8.937283515930176
sw06_Full,311,Protein,9.178065299987793
sw06_Full,312,Protein,9.007888793945313
sw06_Full,313,Protein,8.832233428955078
sw06_Full,314,Protein,9.222344398498535
sw06_Full,315,Protein,9.122735023498535
sw06_Full,316,Protein,9.298243522644043
sw06_Full,317,Protein,9.625591278076172
sw06_Full,318,Protein,9.742757797241211
sw06_Full,319,Protein,9.453448295593262
sw06_Full,320,Protein,9.52736759185791
sw06_Full,321,Protein,9.667510986328125
sw06_Full,322,Protein,9.629955291748047
sw06_Full,323,Protein,9.556998252868652
sw06_Full,324,Protein,9.614864349365234
sw06_Full,325,Protein,9.733357429504395
sw06_Full,326,Protein,10.306763648986816
sw06_Full,327,Protein,10.948348999023438
sw06_Full,328,Protein,11.595725059509277
sw06_Full,329,Protein,11.42765998840332
sw06_Full,330,Protein,11.651832580566406
sw06_Full,331,Protein,11.28919506072998
sw06_Full,332,Protein,11.248727798461914
sw06_Full,333,Protein,10.68462085723877
sw06_Full,334,Protein,10.917725563049316
sw06_Full,335,Protein,10.940109252929688
sw06_Full,336,Protein,11.122315406799316
sw06_Full,337,Protein,10.950881004333496
sw06_Full,338,Protein,11.037261962890625
sw06_Full,339,Protein,11.126374244689941
sw06_Full,340,Protein,10.560975074768066
sw06_Full,341,Protein,10.921436309814453
sw06_Full,342,Protein,10.95739459991455
sw06_Full,343,Protein,11.100303649902344
sw06_Full,344,Protein,10.759998321533203
sw06_Full,345,Protein,10.657331466674805
sw06_Full,346,Protein,10.86549186706543
sw06_Full,347,Protein,11.466229438781738
sw06_Full,348,Protein,11.768577575683594
sw06_Full,349,Protein,11.35870361328125
sw06_Full,350,Protein,11.721817016601563
sw06_Full,351,Protein,11.003266334533691
sw06_Full,352,Protein,11.093600273132324
sw06_Full,353,Protein,11.0836763381958
sw06_Full,354,Protein,11.739853858947754
sw06_Full,355,Protein,12.248148918151855
sw06_Full,356,Protein,12.520757675170898
sw06_Full,357,Protein,12.187556266784668
sw06_Full,358,Protein,12.48896598815918
sw06_Full,359,Protein,13.090495109558105
sw06_Full,360,Protein,12.941187858581543
sw06_Full,361,Protein,12.61607837677002
sw06_Full,362,Protein,12.207929611206055
sw06_Full,363,Protein,12.30863094329834
sw06_Full,364,Protein,12.07388973236084
sw06_Full,365,Protein,11.589706420898438
sw06_Full,366,Protein,11.223384857177734
sw06_Full,367,Protein,11.951787948608398
sw06_Full,368,Protein,12.178196907043457
sw06_Full,369,Protein,11.707853317260742
sw06_Full,370,Protein,11.732009887695313
sw06_Full,371,Protein,11.487634658813477
sw06_Full,372,Protein,11.338351249694824
sw06_Full,373,Protein,11.145073890686035
sw06_Full,374,Protein,11.298810958862305
sw06_Full,375,Protein,11.499826431274414
sw06_Full,376,Protein,11.684879302978516
sw06_Full,377,Protein,12.570101737976074
sw06_Full,378,Protein,11.967751502990723
sw06_Full,379,Protein,12.026808738708496
sw06_Full,380,Protein,12.232902526855469
sw06_Full,381,Protein,12.507613182067871
sw06_Full,382,Protein,12.375629425048828
sw06_Full,383,Protein,12.69017219543457
sw06_Full,384,Protein,12.399195671081543
sw06_Full,385,Protein,12.731188774108887
sw06_Full,386,Protein,13.002398490905762
sw06_Full,387,Protein,13.060002326965332
sw06_Full,388,Protein,12.803646087646484
sw06_Full,389,Protein,13.23050594329834
sw06_Full,390,Protein,13.12275505065918
sw06_Full,391,Protein,12.799286842346191
sw06_Full,392,Protein,12.238296508789063
sw06_Full,393,Protein,12.59306812286377
sw06_Full,394,Protein,11.958745956420898
sw06_Full,395,Protein,11.180289268493652
sw06_Full,396,Protein,11.724215507507324
sw06_Full,397,Protein,11.842031478881836
sw06_Full,398,Protein,11.723072052001953
sw06_Full,399,Protein,11.763880729675293
sw06_Full,400,Protein,11.719292640686035
sw06_Full,401,Protein,11.810833930969238
sw06_Full,402,Protein,12.48362922668457
sw06_Full,403,Protein,12.461705207824707
sw06_Full,404,Protein,12.716595649719238
sw06_Full,405,Protein,11.942394256591797
sw06_Full,406,Protein,11.6685152053833
sw06_Full,407,Protein,11.446728706359863
sw06_Full,408,Protein,12.041525840759277
sw06_Full,409,Protein,12.092362403869629
sw06_Full,410,Protein,12.872653007507324
sw06_Full,411,Protein,12.738866806030273
sw06_Full,412,Protein,12.65407657623291
sw06_Full,413,Protein,12.542987823486328
sw06_Full,414,Protein,12.433899879455566
sw06_Full,415,Protein,12.722552299499512
sw06_Full,416,Protein,13.231569290161133
sw06_Full,417,Protein,12.066238403320313
sw06_Full,418,Protein,12.75656795501709
sw06_Full,419,Protein,13.497193336486816
sw06_Full,420,Protein,13.432584762573242
sw06_Full,421,Protein,13.10968017578125
sw06_Full,422,Protein,13.038216590881348
sw06_Full,423,Protein,13.292969703674316
sw06_Full,424,Protein,13.2352933883667
sw06_Full,425,Protein,13.45423412322998
sw06_Full,426,Protein,13.81963062286377
sw06_Full,427,Protein,13.86160659790039
sw06_Full,428,Protein,13.702790260314941
sw06_Full,429,Protein,13.340557098388672
sw06_Full,430,Protein,12.491415977478027
sw06_Full,431,Protein,12.757989883422852
sw06_Full,432,Protein,12.951383590698242
sw06_Full,433,Protein,12.888453483581543
sw06_Full,434,Protein,12.879434585571289
sw06_Full,435,Protein,13.240823745727539
sw06_Full,436,Protein,12.492265701293945
sw06_Full,437,Protein,12.367460250854492
sw06_Full,438,Protein,11.871343612670898
sw06_Full,439,Protein,11.819177627563477
sw06_Full,440,Protein,11.71403694152832
sw06_Full,441,Protein,11.768380165100098
sw06_Full,442,Protein,12.38768482208252
sw06_Full,443,Protein,12.319872856140137
sw06_Full,444,Protein,12.579239845275879
sw06_Full,445,Protein,13.234457015991211
sw06_Full,446,Protein,13.745365142822266
sw06_Full,447,Protein,14.142327308654785
sw06_Full,448,Protein,14.056663513183594
sw06_Full,449,Protein,13.289097785949707
sw06_Full,450,Protein,13.591153144836426
sw06_Full,451,Protein,13.278213500976563
sw06_Full,452,Protein,13.677348136901855
sw06_Full,453,Protein,13.207695960998535
sw06_Full,454,Protein,13.17599868774414
sw06_Full,455,Protein,13.500911712646484
sw06_Full,456,Protein,13.547441482543945
sw06_Full,457,Protein,14.092643737792969
sw06_Full,458,Protein,13.611642837524414
sw06_Full,459,Protein,13.903550148010254
sw06_Full,460,Protein,13.793087005615234
sw06_Full,461,Protein,13.847075462341309
sw06_Full,462,Protein,14.003823280334473
sw06_Full,463,Protein,13.593588829040527
sw06_Full,464,Protein,13.394472122192383
sw06_Full,465,Protein,13.59328842163086
sw06_Full,466,Protein,13.463062286376953
sw06_Full,467,Protein,12.898731231689453
sw06_Full,468,Protein,12.82016372680664
sw06_Full,469,Protein,12.150012016296387
sw06_Full,470,Protein,12.131364822387695
sw06_Full,471,Protein,12.243292808532715
sw06_Full,472,Protein,12.486226081848145
sw06_Full,473,Protein,12.402606010437012
sw06_Full,474,Protein,11.967842102050781
sw06_Full,475,Protein,12.149993896484375
sw06_Full,476,Protein,12.705608367919922
sw06_Full,477,Protein,12.319278717041016
sw06_Full,478,Protein,12.447407722473145
sw06_Full,479,Protein,12.67727279663086
sw06_Full,480,Protein,12.816242218017578
sw06_Full,481,Protein,12.732950210571289
sw06_Full,482,Protein,12.536711692810059
sw06_Full,483,Protein,12.511795043945313
sw06_Full,484,Protein,12.927471160888672
sw06_Full,485,Protein,13.199756622314453
sw06_Full,486,Protein,12.863225936889648
sw06_Full,487,Protein,12.89136791229248
sw06_Full,488,Protein,13.017973899841309
sw06_Full,489,Protein,13.493559837341309
sw06_Full,490,Protein,13.567856788635254
sw06_Full,491,Protein,13.084010124206543
sw06_Full,492,Protein,13.629276275634766
sw06_Full,493,Protein,13.621630668640137
sw06_Full,494,Protein,13.68011474609375
sw06_Full,495,Protein,13.90048885345459
sw06_Full,496,Protein,14.281835556030273
sw06_Full,497,Protein,14.571800231933594
sw06_Full,498,Protein,14.782005310058594
sw06_Full,499,Protein,14.469204902648926
sw06_Full,500,Protein,14.662564277648926
sw06_Full,501,Protein,14.452733039855957
sw06_Full,502,Protein,13.998345375061035
sw06_Full,503,Protein,14.331053733825684
sw06_Full,504,Protein,14.718043327331543
sw06_Full,505,Protein,15.094842910766602
sw06_Full,506,Protein,15.036554336547852
sw06_Full,507,Protein,15.267136573791504
sw06_Full,508,Protein,15.440824508666992
sw06_Full,509,Protein,15.553106307983398
sw06_Full,510,Protein,15.952195167541504
sw06_Full,511,Protein,15.499750137329102
sw06_Full,512,Protein,16.008480072021484
sw06_Full,513,Protein,16.03508186340332
sw06_Full,514,Protein,15.507944107055664
sw06_Full,515,Protein,15.183419227600098
sw06_Full,516,Protein,16.242542266845703
sw06_Full,517,Protein,15.759838104248047
sw06_Full,518,Protein,15.472982406616211
sw06_Full,519,Protein,15.811558723449707
sw06_Full,520,Protein,15.701250076293945
sw06_Full,521,Protein,15.697999954223633
sw06_Full,522,Protein,15.746452331542969
sw06_Full,523,Protein,15.48559856414795
sw06_Full,524,Protein,15.78125286102295
sw06_Full,525,Protein,15.92085075378418
sw06_Full,526,Protein,16.263397216796875
sw06_Full,527,Protein,16.2735595703125
sw06_Full,528,Protein,16.428922653198242
sw06_Full,529,Protein,16.378433227539063
sw06_Full,530,Protein,16.60747718811035
sw06_Full,531,Protein,16.354585647583008
sw06_Full,532,Protein,17.26267433166504
sw06_Full,533,Protein,16.828208923339844
sw06_Full,534,Protein,17.18337059020996
sw06_Full,535,Protein,16.732877731323242
sw06_Full,536,Protein,16.488882064819336
sw06_Full,537,Protein,16.346084594726563
sw06_Full,538,Protein,16.34385871887207
sw06_Full,539,Protein,16.550247192382813
sw06_Full,540,Protein,16.137304306030273
sw06_Full,541,Protein,16.23859977722168
sw06_Full,542,Protein,16.686094284057617
sw06_Full,543,Protein,16.318199157714844
sw06_Full,544,Protein,16.47974967956543
sw06_Full,545,Protein,16.394763946533203
sw06_Full,546,Protein,15.52031421661377
sw06_Full,547,Protein,15.9334135055542
sw06_Full,548,Protein,15.601783752441406
sw06_Full,549,Protein,15.469653129577637
sw06_Full,550,Protein,15.242106437683105
sw06_Full,551,Protein,15.531904220581055
sw06_Full,552,Protein,15.07857894897461
sw06_Full,553,Protein,15.363581657409668
sw06_Full,554,Protein,15.146637916564941
sw06_Full,555,Protein,15.422987937927246
sw06_Full,556,Protein,15.32591438293457
sw06_Full,557,Protein,15.14515209197998
sw06_Full,558,Protein,15.113574981689453
sw06_Full,559,Protein,14.904419898986816
sw06_Full,560,Protein,15.103374481201172
sw06_Full,561,Protein,14.93344783782959
sw06_Full,562,Protein,15.34244155883789
sw06_Full,563,Protein,15.339540481567383
sw06_Full,564,Protein,15.634642601013184
sw06_Full,565,Protein,15.877203941345215
sw06_Full,566,Protein,16.20186996459961
sw06_Full,567,Protein,16.33701515197754
sw06_Full,568,Protein,16.334320068359375
sw06_Full,569,Protein,15.539172172546387
sw06_Full,570,Protein,15.775468826293945
sw06_Full,571,Protein,15.76384162902832
sw06_Full,572,Protein,16.348976135253906
sw06_Full,573,Protein,16.323299407958984
sw06_Full,574,Protein,15.79262638092041
sw06_Full,575,Protein,15.870972633361816
sw06_Full,576,Protein,15.928325653076172
sw06_Full,577,Protein,16.232250213623047
sw06_Full,578,Protein,16.300575256347656
sw06_Full,579,Protein,16.7396183013916
sw06_Full,580,Protein,16.724164962768555
sw06_Full,581,Protein,16.908428192138672
sw06_Full,582,Protein,16.40587615966797
sw06_Full,583,Protein,16.667890548706055
sw06_Full,584,Protein,16.277353286743164
sw06_Full,585,Protein,15.775686264038086
sw06_Full,586,Protein,15.727749824523926
sw06_Full,587,Protein,15.073990821838379
sw06_Full,588,Protein,15.95101547241211
sw06_Full,589,Protein,15.696503639221191
sw06_Full,590,Protein,16.055034637451172
sw06_Full,591,Protein,15.688509941101074
sw06_Full,592,Protein,15.725421905517578
sw06_Full,593,Protein,15.737750053405762
sw06_Full,594,Protein,15.604822158813477
sw06_Full,595,Protein,15.629060745239258
sw06_Full,596,Protein,15.693395614624023
sw06_Full,597,Protein,16.24890899658203
sw06_Full,598,Protein,15.98685073852539
sw06_Full,599,Protein,16.505216598510742
sw06_Full,600,Protein,16.659523010253906
sw06_Full,601,Protein,16.825321197509766
sw06_Full,602,Protein,16.38890838623047
sw06_Full,603,Protein,15.95953369140625
sw06_Full,604,Protein,15.404692649841309
sw06_Full,605,Protein,15.156153678894043
sw06_Full,606,Protein,15.451756477355957
sw06_Full,607,Protein,14.863121032714844
sw06_Full,608,Protein,15.13408374786377
sw06_Full,609,Protein,15.230474472045898
sw06_Full,610,Protein,15.525518417358398
sw06_Full,611,Protein,15.298145294189453
sw06_Full,612,Protein,15.038668632507324
sw06_Full,613,Protein,15.157776832580566
sw06_Full,614,Protein,15.616477966308594
sw06_Full,615,Protein,15.560914993286133
sw06_Full,616,Protein,15.365781784057617
sw06_Full,617,Protein,14.970958709716797
sw06_Full,618,Protein,15.169669151306152
sw06_Full,619,Protein,15.473200798034668
sw06_Full,620,Protein,15.402231216430664
sw06_Full,621,Protein,15.678717613220215
sw06_Full,622,Protein,16.087003707885742
sw06_Full,623,Protein,15.736893653869629
sw06_Full,624,Protein,16.032726287841797
sw06_Full,625,Protein,16.109188079833984
sw06_Full,626,Protein,16.06077003479004
sw06_Full,627,Protein,16.349380493164063
sw06_Full,628,Protein,16.25835609436035
sw06_Full,629,Protein,16.65448570251465
sw06_Full,630,Protein,17.02605438232422
sw06_Full,631,Protein,17.08412742614746
sw06_Full,632,Protein,17.30577278137207
sw06_Full,633,Protein,17.280672073364258
sw06_Full,634,Protein,16.9755859375
sw06_Full,635,Protein,16.618093490600586
sw06_Full,636,Protein,16.064388275146484
sw06_Full,637,Protein,15.708772659301758
sw06_Full,638,Protein,15.79411792755127
sw06_Full,639,Protein,15.811911582946777
sw06_Full,640,Protein,16.11997413635254
sw06_Full,641,Protein,15.904329299926758
sw06_Full,642,Protein,16.141572952270508
sw06_Full,643,Protein,16.535234451293945
sw06_Full,644,Protein,16.917692184448242
sw06_Full,645,Protein,17.027807235717773
sw06_Full,646,Protein,17.10234260559082
sw06_Full,647,Protein,17.77710723876953
sw06_Full,648,Protein,17.403730392456055
sw06_Full,649,Protein,17.2010440826416
sw06_Full,650,Protein,16.8075008392334
sw06_Full,651,Protein,16.858163833618164
sw06_Full,652,Protein,16.88841438293457
sw06_Full,653,Protein,16.89520835876465
sw06_Full,654,Protein,17.123491287231445
sw06_Full,655,Protein,17.4023494720459
sw06_Full,656,Protein,16.935571670532227
sw06_Full,657,Protein,17.214813232421875
sw06_Full,658,Protein,17.059673309326172
sw06_Full,659,Protein,16.939491271972656
sw06_Full,660,Protein,17.313791275024414
sw06_Full,661,Protein,17.50614356994629
sw06_Full,662,Protein,17.44146156311035
