"FRAME","SYSTEM","HBONDS"
408,"HBONDS",0
409,"HBONDS",0
410,"HBONDS",0
411,"HBONDS",0
412,"HBONDS",0
413,"HBONDS",0
414,"HBONDS",0
415,"HBONDS",0
416,"HBONDS",0
417,"HBONDS",0
418,"HBONDS",0
419,"HBONDS",0
420,"HBONDS",0
421,"HBONDS",0
422,"HBONDS",0
423,"HBONDS",0
424,"HBONDS",0
425,"HBONDS",0
426,"HBONDS",0
427,"HBONDS",0
428,"HBONDS",0
429,"HBONDS",0
430,"HBONDS",0
431,"HBONDS",0
432,"HBONDS",0
433,"HBONDS",0
434,"HBONDS",0
435,"HBONDS",0
436,"HBONDS",0
437,"HBONDS",0
438,"HBONDS",0
439,"HBONDS",0
440,"HBONDS",0
441,"HBONDS",0
442,"HBONDS",0
443,"HBONDS",0
444,"HBONDS",0
445,"HBONDS",0
446,"HBONDS",0
447,"HBONDS",1
448,"HBONDS",0
449,"HBONDS",0
450,"HBONDS",0
451,"HBONDS",0
452,"HBONDS",0
453,"HBONDS",0
454,"HBONDS",0
455,"HBONDS",0
456,"HBONDS",0
457,"HBONDS",0
458,"HBONDS",0
459,"HBONDS",0
460,"HBONDS",0
461,"HBONDS",0
462,"HBONDS",0
463,"HBONDS",0
464,"HBONDS",0
465,"HBONDS",0
466,"HBONDS",0
467,"HBONDS",0
468,"HBONDS",0
469,"HBONDS",0
470,"HBONDS",0
471,"HBONDS",1
472,"HBONDS",0
473,"HBONDS",0
474,"HBONDS",0
475,"HBONDS",0
476,"HBONDS",0
477,"HBONDS",0
478,"HBONDS",0
479,"HBONDS",0
480,"HBONDS",0
481,"HBONDS",0
482,"HBONDS",0
483,"HBONDS",0
484,"HBONDS",0
485,"HBONDS",1
486,"HBONDS",0
487,"HBONDS",0
488,"HBONDS",0
489,"HBONDS",0
490,"HBONDS",0
491,"HBONDS",0
492,"HBONDS",0
493,"HBONDS",0
494,"HBONDS",0
495,"HBONDS",0
496,"HBONDS",0
497,"HBONDS",0
