Frame         Time          Elec          VdW           Nonbond       Total         
160           160           -4065.2       -601.734      -4666.93      -4666.93      
161           161           -4036.32      -591.925      -4628.24      -4628.24      
162           162           -4200.18      -580.361      -4780.54      -4780.54      
163           163           -4172.9       -545.282      -4718.18      -4718.18      
164           164           -4339.3       -512.202      -4851.5       -4851.5       
165           165           -4236.7       -551.926      -4788.63      -4788.63      
166           166           -4115.14      -596.326      -4711.47      -4711.47      
167           167           -4085.94      -566.062      -4652         -4652         
168           168           -3945.91      -613.571      -4559.48      -4559.48      
169           169           -4010.14      -580.604      -4590.74      -4590.74      
170           170           -4043.66      -587.01       -4630.67      -4630.67      
171           171           -4219.72      -601.119      -4820.84      -4820.84      
172           172           -4224.65      -524.813      -4749.47      -4749.47      
173           173           -4099.41      -564.911      -4664.32      -4664.32      
174           174           -4173.32      -596.536      -4769.85      -4769.85      
175           175           -4143.07      -572.043      -4715.11      -4715.11      
176           176           -3991.55      -573.808      -4565.36      -4565.36      
177           177           -3986         -548.322      -4534.33      -4534.33      
178           178           -3941.22      -543.287      -4484.5       -4484.5       
179           179           -3929.24      -575.419      -4504.66      -4504.66      
180           180           -4028.56      -591.67       -4620.23      -4620.23      
181           181           -3899.1       -610.717      -4509.82      -4509.82      
182           182           -3978.93      -610.615      -4589.54      -4589.54      
183           183           -4004.59      -564.853      -4569.44      -4569.44      
184           184           -3892.6       -612.136      -4504.74      -4504.74      
185           185           -3854.6       -625.848      -4480.45      -4480.45      
186           186           -4076.06      -601.673      -4677.73      -4677.73      
187           187           -4024.6       -587.116      -4611.72      -4611.72      
188           188           -4050.35      -609.573      -4659.92      -4659.92      
189           189           -4018.96      -576.055      -4595.01      -4595.01      
190           190           -3989.74      -587.525      -4577.26      -4577.26      
191           191           -3941.35      -573.905      -4515.25      -4515.25      
192           192           -4097.12      -561.846      -4658.96      -4658.96      
193           193           -4105.99      -594          -4699.99      -4699.99      
194           194           -4029.27      -597.871      -4627.14      -4627.14      
195           195           -3954.35      -595.247      -4549.59      -4549.59      
196           196           -3943.47      -567.557      -4511.03      -4511.03      
197           197           -3952.02      -578.606      -4530.62      -4530.62      
198           198           -3977.64      -593.902      -4571.55      -4571.55      
199           199           -3995.99      -575.326      -4571.32      -4571.32      
