POSE, TYPE, FRAME, RADIOG
Full, Protein, 122, 23.925630812363725
Full, Complex, 122, 23.88718290835588
Full, Protein, 123, 24.002392955036786
Full, Complex, 123, 23.96369738277379
Full, Protein, 124, 24.295238033007237
Full, Complex, 124, 24.256874855076514
Full, Protein, 125, 24.137102527585586
Full, Complex, 125, 24.096942430310147
Full, Protein, 126, 24.084634383028067
Full, Complex, 126, 24.04532966100782
Full, Protein, 127, 23.967791308205378
Full, Complex, 127, 23.926708688421627
Full, Protein, 128, 23.881309902736668
Full, Complex, 128, 23.842984223074218
Full, Protein, 129, 23.899788771025
Full, Complex, 129, 23.859813002616917
Full, Protein, 130, 23.971176570455928
Full, Complex, 130, 23.9295737529074
Full, Protein, 131, 24.159892933049903
Full, Complex, 131, 24.120468310083908
Full, Protein, 132, 24.359272342913428
Full, Complex, 132, 24.309408977485838
Full, Protein, 133, 23.982889078820822
Full, Complex, 133, 23.94661002422099
Full, Protein, 134, 23.910477209413894
Full, Complex, 134, 23.86245015959679
Full, Protein, 135, 23.56763544921411
Full, Complex, 135, 23.51973742336204
Full, Protein, 136, 23.483947470531522
Full, Complex, 136, 23.436513642117355
Full, Protein, 137, 23.6555917862941
Full, Complex, 137, 23.606794371515964
Full, Protein, 138, 23.562365172050036
Full, Complex, 138, 23.513368779465832
Full, Protein, 139, 23.44072534200833
Full, Complex, 139, 23.38976450474631
Full, Protein, 140, 23.474147230657856
Full, Complex, 140, 23.428226755265896
Full, Protein, 141, 23.558973243730385
Full, Complex, 141, 23.51675962301755
Full, Protein, 142, 23.539946797158073
Full, Complex, 142, 23.499904853084292
Full, Protein, 143, 23.278178940178535
Full, Complex, 143, 23.243576119214463
Full, Protein, 144, 23.557203419818936
Full, Complex, 144, 23.517762755748723
Full, Protein, 145, 23.53667688558149
Full, Complex, 145, 23.498786108140866
Full, Protein, 146, 23.398065434856058
Full, Complex, 146, 23.35843317768077
Full, Protein, 147, 23.543520991046137
Full, Complex, 147, 23.50108230211883
Full, Protein, 148, 23.646403002246007
Full, Complex, 148, 23.604368992688908
Full, Protein, 149, 23.670364543484236
Full, Complex, 149, 23.629176082351904
Full, Protein, 150, 23.302418757738845
Full, Complex, 150, 23.256664440398172
Full, Protein, 151, 23.218854775601805
Full, Complex, 151, 23.175556410680613
Full, Protein, 152, 23.10357136933642
Full, Complex, 152, 23.06217606794307
Full, Protein, 153, 23.295252807580685
Full, Complex, 153, 23.25132162598844
Full, Protein, 154, 23.0421058771788
Full, Complex, 154, 22.99944421236181
Full, Protein, 155, 23.428341137603848
Full, Complex, 155, 23.38730521827163
Full, Protein, 156, 23.31269800899488
Full, Complex, 156, 23.270547982962974
Full, Protein, 157, 23.65000014419286
Full, Complex, 157, 23.606600634058196
Full, Protein, 158, 23.984524050435155
Full, Complex, 158, 23.942102615031907
Full, Protein, 159, 24.172922414388207
Full, Complex, 159, 24.13051415319343
Full, Protein, 160, 24.073112768248276
Full, Complex, 160, 24.0244005050106
Full, Protein, 161, 23.803192175860957
Full, Complex, 161, 23.760341062788722
Full, Protein, 162, 23.871556383865126
Full, Complex, 162, 23.82888316530011
Full, Protein, 163, 24.264051223288856
Full, Complex, 163, 24.218161865537436
Full, Protein, 164, 24.60798634862992
Full, Complex, 164, 24.558304478972328
Full, Protein, 165, 24.21480850628992
Full, Complex, 165, 24.171647303302063
Full, Protein, 166, 24.38940534586623
Full, Complex, 166, 24.345688577506913
Full, Protein, 167, 24.529443957641007
Full, Complex, 167, 24.48681981119926
Full, Protein, 168, 24.200280885008002
Full, Complex, 168, 24.160874118155647
Full, Protein, 169, 23.98613168339664
Full, Complex, 169, 23.94490858964968
Full, Protein, 170, 24.414403296550436
Full, Complex, 170, 24.373090528700658
Full, Protein, 171, 24.08122459207647
Full, Complex, 171, 24.041672620233008
Full, Protein, 172, 24.22828903232163
Full, Complex, 172, 24.191828591324775
Full, Protein, 173, 24.515286316624884
Full, Complex, 173, 24.472474742592176
Full, Protein, 174, 24.317802511290154
Full, Complex, 174, 24.28163420076215
Full, Protein, 175, 24.620929767231985
Full, Complex, 175, 24.585592487212043
Full, Protein, 176, 24.675261735811354
Full, Complex, 176, 24.639276841466298
Full, Protein, 177, 24.477150980041266
Full, Complex, 177, 24.439076579166617
Full, Protein, 178, 24.358295006742125
Full, Complex, 178, 24.318365786970553
Full, Protein, 179, 24.91518019985476
Full, Complex, 179, 24.874785870678135
Full, Protein, 180, 24.849112293658447
Full, Complex, 180, 24.808507355037825
Full, Protein, 181, 24.431838124933055
Full, Complex, 181, 24.391975621819203
Full, Protein, 182, 24.12055683094444
Full, Complex, 182, 24.084626762039534
Full, Protein, 183, 24.00768602111555
Full, Complex, 183, 23.96978506254753
Full, Protein, 184, 24.07620655730759
Full, Complex, 184, 24.03715367386394
Full, Protein, 185, 24.426099604631744
Full, Complex, 185, 24.388603671864907
Full, Protein, 186, 24.357424744020584
Full, Complex, 186, 24.318339781140658
Full, Protein, 187, 23.82183577648518
Full, Complex, 187, 23.781335152329518
Full, Protein, 188, 24.12189343025764
Full, Complex, 188, 24.07800262225666
Full, Protein, 189, 24.3623778938345
Full, Complex, 189, 24.31651731277113
Full, Protein, 190, 24.32495699810575
Full, Complex, 190, 24.28733073283054
Full, Protein, 191, 24.578570134769464
Full, Complex, 191, 24.536235170667627
Full, Protein, 192, 24.268199564881353
Full, Complex, 192, 24.22996506508567
Full, Protein, 193, 24.593830979910482
Full, Complex, 193, 24.556845289322506
Full, Protein, 194, 24.573689482113984
Full, Complex, 194, 24.538503018475204
Full, Protein, 195, 24.668342176051066
Full, Complex, 195, 24.626318396252085
Full, Protein, 196, 24.71133752056297
Full, Complex, 196, 24.671439457130493
Full, Protein, 197, 25.47998981533032
Full, Complex, 197, 25.43943457574351
Full, Protein, 198, 25.369795349187484
Full, Complex, 198, 25.32784525701917
Full, Protein, 199, 25.406184272438438
Full, Complex, 199, 25.36549025265307
Full, Protein, 200, 25.32206955577365
Full, Complex, 200, 25.280526471561227
Full, Protein, 201, 25.18721707582326
Full, Complex, 201, 25.146701203901717
Full, Protein, 202, 25.379732116334157
Full, Complex, 202, 25.344650434885796
Full, Protein, 203, 25.868344589337926
Full, Complex, 203, 25.832820090040784
Full, Protein, 204, 25.571485817429842
Full, Complex, 204, 25.53245854851247
Full, Protein, 205, 25.672923565780344
Full, Complex, 205, 25.629621921882666
Full, Protein, 206, 25.29076568347998
Full, Complex, 206, 25.24713223507645
Full, Protein, 207, 25.081200569465334
Full, Complex, 207, 25.04126291172642
Full, Protein, 208, 25.688485775112653
Full, Complex, 208, 25.64547134673979
Full, Protein, 209, 25.264980280296232
Full, Complex, 209, 25.22465634323648
Full, Protein, 210, 25.158090065547952
Full, Complex, 210, 25.122421237399507
Full, Protein, 211, 25.151734918919765
Full, Complex, 211, 25.117481242738265
Full, Protein, 212, 25.624141826152346
Full, Complex, 212, 25.592078026963478
Full, Protein, 213, 25.358764666812018
Full, Complex, 213, 25.328708888871844
Full, Protein, 214, 25.19712666833588
Full, Complex, 214, 25.1747667583561
Full, Protein, 215, 25.302077402571186
Full, Complex, 215, 25.277735536838975
Full, Protein, 216, 25.80374128615906
Full, Complex, 216, 25.776120774760123
Full, Protein, 217, 25.64777442236151
Full, Complex, 217, 25.62283593831891
Full, Protein, 218, 25.608535888165243
Full, Complex, 218, 25.58718779097916
Full, Protein, 219, 26.4282760045388
Full, Complex, 219, 26.40056129563674
Full, Protein, 220, 26.059270129978252
Full, Complex, 220, 26.032175943352946
Full, Protein, 221, 25.742075829287955
Full, Complex, 221, 25.719082903414893
Full, Protein, 222, 25.950658084689596
Full, Complex, 222, 25.926356826821014
Full, Protein, 223, 25.777107175234285
Full, Complex, 223, 25.742200539247634
Full, Protein, 224, 25.948943162255276
Full, Complex, 224, 25.91473416425636
Full, Protein, 225, 25.87295452743588
Full, Complex, 225, 25.837047010673526
Full, Protein, 226, 25.75370230316291
Full, Complex, 226, 25.718472694095656
Full, Protein, 227, 25.636306438034158
Full, Complex, 227, 25.608546810811
Full, Protein, 228, 25.434675358193495
Full, Complex, 228, 25.410403197986017
Full, Protein, 229, 25.234505346169897
Full, Complex, 229, 25.204637795493863
Full, Protein, 230, 25.282882627908542
Full, Complex, 230, 25.25536707094106
Full, Protein, 231, 25.578549842014382
Full, Complex, 231, 25.549169834249593
Full, Protein, 232, 25.305206335627734
Full, Complex, 232, 25.276853875013344
Full, Protein, 233, 25.633304566771418
Full, Complex, 233, 25.604619816449222
Full, Protein, 234, 25.87540798681494
Full, Complex, 234, 25.84879443549235
Full, Protein, 235, 25.78980556231888
Full, Complex, 235, 25.761308233497637
Full, Protein, 236, 25.196463002432793
Full, Complex, 236, 25.169221625853655
Full, Protein, 237, 25.482186162881
Full, Complex, 237, 25.44840739108919
Full, Protein, 238, 25.528340987539366
Full, Complex, 238, 25.500768507846043
Full, Protein, 239, 25.15969828209583
Full, Complex, 239, 25.123469505107774
Full, Protein, 240, 24.909516504532267
Full, Complex, 240, 24.87204490911218
Full, Protein, 241, 25.299405859600885
Full, Complex, 241, 25.25995014105007
Full, Protein, 242, 24.957980400486495
