Frame         Time          Elec          VdW           Nonbond       Total         
154           154           -4321.47      -611.185      -4932.65      -4932.65      
155           155           -4208.37      -586.468      -4794.84      -4794.84      
156           156           -4335         -611.912      -4946.91      -4946.91      
157           157           -4169.62      -608.911      -4778.53      -4778.53      
158           158           -4050.32      -598.628      -4648.95      -4648.95      
159           159           -4027.88      -585.322      -4613.2       -4613.2       
160           160           -4113.91      -612.313      -4726.22      -4726.22      
161           161           -4039.33      -600.743      -4640.07      -4640.07      
162           162           -4066.96      -609.806      -4676.76      -4676.76      
163           163           -3948.35      -596.543      -4544.89      -4544.89      
164           164           -4022.67      -535.869      -4558.53      -4558.53      
165           165           -4054.53      -612.941      -4667.47      -4667.47      
166           166           -3908.3       -582.509      -4490.81      -4490.81      
167           167           -4040.36      -594.292      -4634.65      -4634.65      
168           168           -3907.65      -669.341      -4576.99      -4576.99      
169           169           -4026.62      -624.578      -4651.19      -4651.19      
170           170           -4005.61      -628.241      -4633.85      -4633.85      
171           171           -3962.55      -654.645      -4617.2       -4617.2       
172           172           -3930.5       -588.808      -4519.31      -4519.31      
173           173           -4028.23      -616.152      -4644.39      -4644.39      
174           174           -3956.53      -607.69       -4564.22      -4564.22      
175           175           -3918.54      -638.738      -4557.28      -4557.28      
176           176           -3980.08      -629.735      -4609.81      -4609.81      
177           177           -3993.57      -627.571      -4621.14      -4621.14      
178           178           -3829.92      -609.536      -4439.45      -4439.45      
179           179           -3832.92      -569.438      -4402.36      -4402.36      
180           180           -3953.36      -633.117      -4586.48      -4586.48      
181           181           -3979.35      -613.453      -4592.8       -4592.8       
182           182           -3986.38      -605.486      -4591.86      -4591.86      
183           183           -3952.31      -568.882      -4521.2       -4521.2       
184           184           -3888.28      -606.988      -4495.27      -4495.27      
185           185           -3871.77      -566.692      -4438.47      -4438.47      
186           186           -3826.06      -632.173      -4458.23      -4458.23      
187           187           -3808.47      -605.054      -4413.52      -4413.52      
188           188           -3933.5       -585.266      -4518.76      -4518.76      
189           189           -3774.85      -613.926      -4388.78      -4388.78      
190           190           -3965.88      -614.285      -4580.17      -4580.17      
191           191           -3762.35      -559.569      -4321.92      -4321.92      
192           192           -3772.86      -590.138      -4362.99      -4362.99      
193           193           -3791.18      -664.163      -4455.34      -4455.34      
194           194           -3939.87      -595.393      -4535.26      -4535.26      
195           195           -4083.3       -660.819      -4744.12      -4744.12      
196           196           -3949.93      -627.795      -4577.73      -4577.73      
197           197           -3990.13      -628.736      -4618.86      -4618.86      
198           198           -3995.02      -643.533      -4638.55      -4638.55      
199           199           -3967.07      -578.441      -4545.51      -4545.51      
200           200           -4070.47      -610.079      -4680.55      -4680.55      
201           201           -3845.77      -628.796      -4474.57      -4474.57      
202           202           -3998.83      -640.538      -4639.37      -4639.37      
203           203           -4068.25      -646.407      -4714.66      -4714.66      
204           204           -3993.39      -619.364      -4612.76      -4612.76      
205           205           -3844.71      -642.988      -4487.7       -4487.7       
206           206           -3932.49      -602.54       -4535.03      -4535.03      
207           207           -3843.78      -617.802      -4461.59      -4461.59      
208           208           -3830.82      -656.887      -4487.7       -4487.7       
209           209           -3860.11      -641.729      -4501.84      -4501.84      
210           210           -3729.08      -636.549      -4365.63      -4365.63      
211           211           -3782.94      -598.254      -4381.2       -4381.2       
212           212           -3905.44      -660.985      -4566.43      -4566.43      
213           213           -3898.78      -592.316      -4491.1       -4491.1       
214           214           -3818.86      -614.2        -4433.06      -4433.06      
215           215           -3850.44      -630.094      -4480.54      -4480.54      
216           216           -3836.44      -628.147      -4464.58      -4464.58      
217           217           -4025.19      -684.338      -4709.52      -4709.52      
218           218           -3957.52      -625.209      -4582.73      -4582.73      
219           219           -4131.07      -584.99       -4716.06      -4716.06      
220           220           -4002.49      -624.239      -4626.73      -4626.73      
221           221           -4057.82      -625.968      -4683.79      -4683.79      
222           222           -3973.37      -633.781      -4607.15      -4607.15      
223           223           -3945.07      -547.138      -4492.2       -4492.2       
224           224           -3928.6       -598.843      -4527.44      -4527.44      
225           225           -3906.17      -586.289      -4492.46      -4492.46      
226           226           -3797.98      -564.926      -4362.91      -4362.91      
227           227           -3957.39      -596.265      -4553.66      -4553.66      
228           228           -3887.72      -634.247      -4521.96      -4521.96      
229           229           -3917.09      -594.491      -4511.58      -4511.58      
230           230           -3885.89      -610.108      -4496         -4496         
231           231           -3840.23      -646.852      -4487.08      -4487.08      
