Frame         Time          Elec          VdW           Nonbond       Total         
445           445           -4010.47      -585.698      -4596.17      -4596.17      
446           446           -4042.63      -594.159      -4636.79      -4636.79      
447           447           -4087.54      -594.285      -4681.83      -4681.83      
448           448           -4076.11      -557.501      -4633.61      -4633.61      
449           449           -4078.29      -602.271      -4680.56      -4680.56      
450           450           -3967.42      -590.858      -4558.27      -4558.27      
451           451           -3998.44      -573.384      -4571.82      -4571.82      
452           452           -3791.29      -546.128      -4337.42      -4337.42      
453           453           -3969.49      -562.434      -4531.93      -4531.93      
454           454           -3930.99      -615.843      -4546.83      -4546.83      
455           455           -3861.58      -594.851      -4456.43      -4456.43      
456           456           -3874.31      -536.133      -4410.44      -4410.44      
457           457           -3960.85      -567.997      -4528.85      -4528.85      
458           458           -3743.18      -593.368      -4336.55      -4336.55      
459           459           -3788.27      -570.108      -4358.38      -4358.38      
460           460           -3536.43      -586.406      -4122.84      -4122.84      
461           461           -3774.28      -568.777      -4343.06      -4343.06      
462           462           -3861.67      -556.673      -4418.35      -4418.35      
463           463           -3908.14      -610.357      -4518.49      -4518.49      
464           464           -3999.53      -575.66       -4575.19      -4575.19      
465           465           -4033.67      -588.014      -4621.68      -4621.68      
466           466           -3838.81      -583.21       -4422.02      -4422.02      
467           467           -3917.9       -629.725      -4547.63      -4547.63      
468           468           -3810.84      -565.923      -4376.77      -4376.77      
469           469           -3688.86      -587.197      -4276.06      -4276.06      
470           470           -3810.12      -602.828      -4412.94      -4412.94      
471           471           -4155.28      -564.888      -4720.17      -4720.17      
472           472           -4004.02      -587.736      -4591.76      -4591.76      
473           473           -3972.25      -575.126      -4547.37      -4547.37      
474           474           -4101.54      -571.169      -4672.71      -4672.71      
475           475           -4085.53      -570.653      -4656.18      -4656.18      
476           476           -4047.47      -597.648      -4645.11      -4645.11      
477           477           -3940.55      -595.786      -4536.33      -4536.33      
478           478           -4124.15      -537.148      -4661.3       -4661.3       
479           479           -4041.46      -557.996      -4599.46      -4599.46      
480           480           -4180.48      -550.81       -4731.29      -4731.29      
481           481           -3981.84      -593.548      -4575.39      -4575.39      
482           482           -4051.72      -533.621      -4585.34      -4585.34      
483           483           -4067.75      -558.99       -4626.74      -4626.74      
484           484           -4137.25      -574.367      -4711.62      -4711.62      
485           485           -4140.99      -539.966      -4680.96      -4680.96      
486           486           -3938.8       -601.646      -4540.45      -4540.45      
487           487           -4045.6       -529.945      -4575.54      -4575.54      
488           488           -3985.27      -584.492      -4569.76      -4569.76      
489           489           -3943.47      -553.594      -4497.07      -4497.07      
490           490           -3951.27      -610.353      -4561.62      -4561.62      
491           491           -3990.03      -550.773      -4540.81      -4540.81      
492           492           -4000.85      -549.116      -4549.97      -4549.97      
493           493           -3866.66      -585.103      -4451.76      -4451.76      
494           494           -3844.89      -554.9        -4399.79      -4399.79      
495           495           -3946.68      -548.39       -4495.07      -4495.07      
496           496           -3902.11      -542.667      -4444.78      -4444.78      
497           497           -3984.96      -569.548      -4554.51      -4554.51      
