Conformation, LigandName, Frame, AD_BindingEnergy,VN_BindingEnergy, Average_Energy
namd-av01,av01,frame01120,0.2,0.0,0.1
namd-av01,av01,frame00632,0.16,0.0,0.08
namd-av01,av01,frame00645,0.16,0.0,0.08
namd-av01,av01,frame00748,0.25,0.0,0.125
namd-av01,av01,frame01567,0.28,0.0,0.14
namd-av01,av01,frame01484,0.14,0.0,0.07
namd-av01,av01,frame01510,0.2,0.0,0.1
namd-av01,av01,frame01830,0.24,0.0,0.12
namd-av01,av01,frame01847,0.21,0.0,0.105
namd-av01,av01,frame01589,0.14,0.0,0.07
namd-av01,av01,frame00202,0.18,0.0,0.09
namd-av01,av01,frame00396,0.16,0.0,0.08
namd-av01,av01,frame00275,0.19,0.0,0.095
namd-av01,av01,frame00378,0.12,0.0,0.06
namd-av01,av01,frame01940,0.18,0.0,0.09
namd-av01,av01,frame01937,0.15,0.0,0.075
namd-av01,av01,frame01417,0.23,0.0,0.115
namd-av01,av01,frame01583,0.18,0.0,0.09
namd-av01,av01,frame01460,0.2,0.0,0.1
namd-av01,av01,frame00208,0.16,0.0,0.08
namd-av01,av01,frame00372,0.22,0.0,0.11
namd-av01,av01,frame00291,0.16,0.0,0.08
namd-av01,av01,frame00305,0.21,0.0,0.105
namd-av01,av01,frame01027,0.25,0.0,0.125
namd-av01,av01,frame01050,0.19,0.0,0.095
namd-av01,av01,frame00638,0.19,0.0,0.095
namd-av01,av01,frame00742,0.19,0.0,0.095
namd-av01,av01,frame00735,0.87,0.0,0.435
namd-av01,av01,frame01282,0.16,0.0,0.08
namd-av01,av01,frame01316,0.21,0.0,0.105
namd-av01,av01,frame01361,0.15,0.0,0.075
namd-av01,av01,frame00924,0.16,0.0,0.08
namd-av01,av01,frame00953,0.19,0.0,0.095
namd-av01,av01,frame00509,0.17,0.0,0.085
namd-av01,av01,frame00829,0.17,0.0,0.085
namd-av01,av01,frame00473,0.24,0.0,0.12
namd-av01,av01,frame00404,0.15,0.0,0.075
namd-av01,av01,frame00590,0.14,0.0,0.07
namd-av01,av01,frame01726,0.16,0.0,0.08
namd-av01,av01,frame01751,0.16,0.0,0.08
namd-av01,av01,frame00139,0.24,0.0,0.12
namd-av01,av01,frame00043,-1.05,-2.47642,-1.763
namd-av01,av01,frame00034,-2.87,-3.47034,-3.17
namd-av01,av01,frame01656,0.24,0.0,0.12
namd-av01,av01,frame01621,0.17,0.0,0.085
namd-av01,av01,frame00133,0.21,0.0,0.105
namd-av01,av01,frame00144,0.19,0.0,0.095
namd-av01,av01,frame00049,-1.68,-2.79366,-2.237
namd-av01,av01,frame01266,0.18,0.0,0.09
namd-av01,av01,frame01211,0.24,0.0,0.12
namd-av01,av01,frame01385,0.23,0.0,0.115
namd-av01,av01,frame01288,0.18,0.0,0.09
namd-av01,av01,frame00497,0.18,0.0,0.09
namd-av01,av01,frame00959,0.15,0.0,0.075
namd-av01,av01,frame00503,0.16,0.0,0.08
namd-av01,av01,frame00574,-0.37,-0.68386,-0.527
namd-av01,av01,frame00854,0.22,0.0,0.11
namd-av01,av01,frame00823,0.22,0.0,0.11
namd-av01,av01,frame00479,0.22,0.0,0.11
namd-av01,av01,frame00247,0.17,0.0,0.085
namd-av01,av01,frame00230,0.32,0.0,0.16
namd-av01,av01,frame01522,0.23,0.0,0.115
namd-av01,av01,frame01978,0.19,0.0,0.095
namd-av01,av01,frame01555,0.18,0.0,0.09
namd-av01,av01,frame01875,0.2,0.0,0.1
namd-av01,av01,frame01458,0.27,0.0,0.135
namd-av01,av01,frame01802,0.21,0.0,0.105
namd-av01,av01,frame00677,-0.05,-0.39024,-0.22
namd-av01,av01,frame00600,0.84,0.0,0.42
namd-av01,av01,frame00794,0.18,0.0,0.09
namd-av01,av01,frame00699,-0.88,-1.19424,-1.037
namd-av01,av01,frame01086,0.19,0.0,0.095
namd-av01,av01,frame01112,0.18,0.0,0.09
namd-av01,av01,frame01165,0.17,0.0,0.085
namd-av01,av01,frame01068,0.19,0.0,0.095
namd-av01,av01,frame00693,-0.91,-0.72903,-0.82
namd-av01,av01,frame00707,-0.39,-0.54337,-0.467
namd-av01,av01,frame00770,0.15,0.0,0.075
namd-av01,av01,frame01118,0.21,0.0,0.105
namd-av01,av01,frame01062,0.18,0.0,0.09
namd-av01,av01,frame01015,0.17,0.0,0.085
namd-av01,av01,frame01181,0.2,0.0,0.1
namd-av01,av01,frame00337,0.2,0.0,0.1
namd-av01,av01,frame00340,0.19,0.0,0.095
namd-av01,av01,frame01905,0.15,0.0,0.075
namd-av01,av01,frame01891,0.2,0.0,0.1
namd-av01,av01,frame01528,0.19,0.0,0.095
namd-av01,av01,frame01972,0.18,0.0,0.09
namd-av01,av01,frame01452,0.19,0.0,0.095
namd-av01,av01,frame01808,0.16,0.0,0.08
namd-av01,av01,frame01425,0.18,0.0,0.09
namd-av01,av01,frame00237,0.21,0.0,0.105
namd-av01,av01,frame00240,0.18,0.0,0.09
namd-av01,av01,frame01805,0.18,0.0,0.09
namd-av01,av01,frame01428,0.22,0.0,0.11
namd-av01,av01,frame01872,0.23,0.0,0.115
namd-av01,av01,frame01552,0.18,0.0,0.09
namd-av01,av01,frame01908,0.2,0.0,0.1
namd-av01,av01,frame01525,0.2,0.0,0.1
namd-av01,av01,frame00793,0.24,0.0,0.12
namd-av01,av01,frame00607,0.16,0.0,0.08
namd-av01,av01,frame00670,-0.27,-0.50317,-0.387
namd-av01,av01,frame01018,0.19,0.0,0.095
namd-av01,av01,frame01162,0.16,0.0,0.08
namd-av01,av01,frame01115,0.2,0.0,0.1
namd-av01,av01,frame01081,0.17,0.0,0.085
namd-av01,av01,frame00777,0.22,0.0,0.11
namd-av01,av01,frame00700,-1.19,-1.61162,-1.401
namd-av01,av01,frame00694,0.34,-0.7616,-0.211
namd-av01,av01,frame00799,0.87,0.0,0.435
namd-av01,av01,frame01186,0.21,0.0,0.105
namd-av01,av01,frame01012,0.17,0.0,0.085
namd-av01,av01,frame01065,0.15,0.0,0.075
namd-av01,av01,frame01168,0.21,0.0,0.105
namd-av01,av01,frame00347,0.19,0.0,0.095
